단어,감정
상승,양성
강화,양성
성장,양성
발전,양성
개선,양성
증가,양성
회복,양성
확대,양성
도약,양성
안정화,양성
돌파,양성
신뢰,양성
효과,양성
성공,양성
선도,양성
활기,양성
호황,양성
유입,양성
혜택,양성
이익,양성
기회상승했다,양성
강화했다,양성
성장했다,양성
발전했다,양성
개선했다,양성
증가했다,양성
회복했다,양성
확대했다,양성
도약했다,양성
안정화했다,양성
돌파했다,양성
신뢰를 얻었다,양성
효과적이다,양성
성공했다,양성
선도했다,양성
활기를 띠었다,양성
호황이다,양성
유입되었다,양성
혜택을 얻었다,양성
이익을 얻었다,양성
하락,음성
위기,음성
약화,음성
퇴보,음성
침체,음성
악화,음성
감소,음성
붕괴,음성
축소,음성
추락,음성
불안정화,음성
실패,음성
신뢰상실,음성
역효과,음성
피해,음성
손실,음성
불황,음성
유출,음성
손해하락했다,음성
약화했다,음성
퇴보했다,음성
침체했다,음성
악화했다,음성
감소했다,음성
붕괴했다,음성
축소했다,음성
추락했다,음성
불안정화했다,음성
실패했다,음성
신뢰를 잃었다,음성
역효과를 냈다,음성
뒤처졌다,음성
침체되었다,음성
불황이다,음성
유출되었다,음성
피해를 입었다,음성
손실을 입었다,음성
